fruit_type,freshness,temp_c,humidity_pct,mq135_co2_ppm,mq3_alcohol_ppm,mq4_methane_ppm,mq137_ammonia_ppm,mq138_benzene_ppm,spoilage_index
Banana,Spoiled,22.4,73.1,1864.0,959.0,220.1,84.2,220.8,0.681
Orange,Fresh,14.6,53.4,173.7,26.1,6.6,3.6,3.1,0.0
Banana,Moderately Fresh,22.2,50.2,479.9,84.3,53.4,9.6,38.7,0.426
Banana,Moderately Fresh,25.0,61.6,396.5,72.3,43.7,8.7,34.8,0.274
Orange,Moderately Fresh,19.4,57.4,430.9,54.6,29.0,10.3,19.4,0.292
Banana,Spoiled,18.3,77.7,1696.6,900.4,228.6,87.5,190.0,0.876
Banana,Moderately Fresh,20.5,78.5,514.0,102.1,40.3,4.8,41.8,0.265
Banana,Fresh,21.1,74.2,192.6,27.8,5.9,3.0,5.3,0.234
Orange,Spoiled,31.4,86.2,1877.3,619.6,280.5,104.2,251.6,0.813
Banana,Fresh,25.9,62.3,184.5,13.8,13.3,2.7,8.4,0.081
Banana,Spoiled,25.9,56.9,1287.1,1136.0,216.2,108.8,224.9,0.81
Orange,Fresh,14.6,75.6,162.3,21.7,8.2,2.2,5.5,0.126
Apple,Spoiled,12.8,86.9,1146.6,901.2,212.5,63.4,130.6,0.797
Banana,Spoiled,17.5,73.9,1234.2,812.4,156.0,88.1,166.6,0.975
Banana,Fresh,21.9,61.0,171.1,17.9,10.4,3.0,4.5,0.19
Apple,Moderately Fresh,21.4,80.4,405.7,99.0,30.2,9.7,25.7,0.459
Orange,Fresh,28.8,71.5,253.6,23.6,13.9,3.8,4.3,0.12
Orange,Spoiled,15.9,86.7,1131.0,661.6,246.4,32.4,167.9,0.829
Apple,Spoiled,25.2,84.1,2109.3,816.3,310.0,100.9,282.4,0.847
Banana,Spoiled,20.4,63.7,1118.8,818.0,231.1,85.4,114.8,0.772
Orange,Spoiled,26.6,74.2,1632.7,1183.9,278.8,81.0,215.5,0.753
Orange,Moderately Fresh,13.7,56.3,311.8,75.7,21.7,7.6,7.4,0.538
Apple,Spoiled,18.5,89.6,1563.1,685.1,239.6,80.2,229.2,0.897
Orange,Fresh,12.5,86.9,147.8,18.0,10.9,1.4,4.9,0.051
Apple,Moderately Fresh,19.8,54.1,438.1,76.5,23.3,8.4,23.3,0.342
Apple,Moderately Fresh,23.8,54.4,454.0,97.2,19.4,8.4,10.5,0.404
Orange,Spoiled,23.2,79.9,1392.9,782.1,270.7,83.3,151.8,0.895
Orange,Fresh,27.2,53.5,223.0,26.7,7.1,2.4,4.6,0.053
Banana,Spoiled,30.0,76.5,1480.4,923.4,273.4,115.5,203.6,0.751
Orange,Spoiled,22.9,72.2,1498.1,732.2,227.0,72.3,201.5,0.992
Banana,Spoiled,14.2,84.0,1614.5,551.1,200.0,78.1,169.9,0.865
Orange,Fresh,31.6,50.6,239.0,30.1,13.9,3.8,3.8,0.074
Apple,Spoiled,31.1,63.0,1846.7,1088.6,299.4,97.2,195.4,0.67
Orange,Spoiled,17.8,87.5,1717.9,939.1,247.4,78.8,218.9,0.726
Apple,Fresh,25.4,82.2,170.3,22.8,13.3,2.3,5.6,0.075
Orange,Fresh,14.6,59.6,159.2,16.6,9.1,3.1,1.6,0.163
Apple,Spoiled,23.3,82.9,1570.6,1147.7,272.3,101.9,220.9,0.915
Banana,Spoiled,20.6,82.0,1396.0,942.2,299.0,72.6,162.3,0.997
Apple,Fresh,23.2,79.6,211.9,21.7,10.3,3.4,6.7,0.036
Banana,Fresh,23.2,57.7,217.6,24.1,8.6,2.6,7.4,0.228
Apple,Spoiled,27.9,64.2,1816.2,778.5,413.4,82.6,222.5,0.963
Apple,Fresh,16.0,79.3,185.5,15.3,2.9,1.0,6.0,0.045
Banana,Spoiled,13.9,55.2,1790.4,647.4,181.6,90.1,169.8,0.759
Orange,Fresh,29.6,57.3,225.3,21.4,16.8,4.8,5.6,0.041
Orange,Spoiled,22.5,53.2,1290.5,966.9,255.9,74.4,189.6,0.749
Banana,Fresh,23.3,52.6,195.8,11.2,12.9,3.3,5.3,0.047
Banana,Moderately Fresh,12.9,60.2,413.1,75.1,34.1,9.0,26.4,0.261
Apple,Moderately Fresh,25.9,70.4,494.7,48.3,19.3,11.3,20.6,0.498
Orange,Moderately Fresh,27.5,54.9,662.4,69.1,30.1,13.6,26.2,0.285
Banana,Moderately Fresh,23.4,86.8,558.8,80.0,49.5,13.6,40.1,0.615
Orange,Spoiled,30.7,69.0,1893.1,1262.8,223.4,98.6,189.0,0.74
Banana,Fresh,29.7,63.1,209.1,27.1,13.1,3.6,9.7,0.132
Apple,Moderately Fresh,20.7,62.7,449.8,69.8,19.0,11.1,19.3,0.304
Banana,Spoiled,22.1,81.6,1369.2,794.0,233.9,97.6,157.6,0.99
Apple,Fresh,13.3,75.4,134.2,18.6,5.2,3.2,1.3,0.066
Orange,Moderately Fresh,29.0,89.6,566.3,93.7,27.5,13.1,19.9,0.268
Banana,Moderately Fresh,13.1,53.3,446.9,57.7,34.4,6.6,31.3,0.519
Banana,Moderately Fresh,20.6,81.7,463.4,96.9,50.8,12.0,40.1,0.262
Orange,Spoiled,14.1,71.1,1270.3,646.4,250.9,64.6,176.1,0.67
Apple,Fresh,12.9,71.6,158.7,17.6,8.9,1.9,5.2,0.05
Orange,Moderately Fresh,21.9,66.0,437.3,94.2,24.7,11.8,29.1,0.571
Banana,Fresh,17.8,57.0,214.9,15.9,9.7,3.4,6.0,0.158
Banana,Spoiled,25.1,80.8,1948.6,831.2,393.5,80.2,185.4,0.752
Banana,Fresh,25.2,61.2,220.4,20.5,10.7,3.9,6.0,0.027
Apple,Spoiled,12.2,85.3,1175.0,774.0,224.7,66.0,127.8,0.889
Apple,Moderately Fresh,21.3,83.9,474.8,79.0,28.4,11.1,22.8,0.446
Apple,Fresh,18.8,66.5,177.1,16.7,10.3,2.3,4.5,0.183
Banana,Spoiled,13.2,76.7,988.1,751.8,191.2,81.3,145.7,0.958
Banana,Fresh,25.6,84.7,222.3,23.8,10.3,4.1,4.7,0.039
Banana,Fresh,31.4,53.8,191.2,32.8,8.7,2.4,8.3,0.228
Apple,Fresh,23.3,86.8,200.4,27.8,10.2,3.0,2.9,0.102
Apple,Spoiled,28.9,64.8,1787.6,1160.9,298.7,111.9,272.0,0.986
Orange,Moderately Fresh,18.7,75.9,432.4,50.2,17.5,10.7,22.9,0.346
Banana,Moderately Fresh,29.9,65.8,647.1,78.6,42.8,10.3,42.7,0.547
Apple,Fresh,27.6,68.0,164.6,20.3,13.3,3.2,7.6,0.125
Banana,Spoiled,17.1,58.3,1399.2,536.8,206.2,81.3,132.2,0.666
Banana,Fresh,25.7,61.0,242.5,29.8,13.5,3.2,7.0,0.196
Banana,Fresh,20.7,72.9,203.8,13.8,5.1,1.4,4.3,0.014
Apple,Moderately Fresh,28.1,50.6,438.2,98.9,28.6,14.5,28.1,0.437
Orange,Moderately Fresh,29.6,51.8,585.8,98.5,27.0,9.9,13.1,0.58
Banana,Moderately Fresh,27.2,53.9,427.0,62.2,51.2,15.0,42.1,0.614
Orange,Fresh,31.3,83.9,184.8,26.3,14.8,6.2,5.4,0.127
Apple,Moderately Fresh,19.7,50.1,416.6,84.8,27.9,8.2,23.9,0.453
Orange,Fresh,22.1,73.9,189.8,20.2,10.0,3.0,6.4,0.017
Orange,Moderately Fresh,16.3,62.9,389.8,82.0,33.2,11.6,18.5,0.353
Apple,Moderately Fresh,28.6,51.7,515.3,100.0,21.3,15.6,24.7,0.581
Orange,Spoiled,19.2,77.0,1308.7,965.0,178.4,104.3,186.5,0.889
Banana,Moderately Fresh,17.2,65.5,404.9,47.8,47.7,9.2,36.0,0.498
Banana,Moderately Fresh,17.5,67.3,396.4,80.9,40.2,9.2,36.5,0.518
Apple,Fresh,13.7,55.1,156.4,13.3,5.1,2.4,2.2,0.156
Banana,Spoiled,30.5,82.2,1725.3,911.0,324.3,116.5,258.9,0.726
Orange,Spoiled,28.1,80.5,1742.5,785.2,255.2,106.3,232.6,0.7
Orange,Spoiled,16.0,80.4,1491.2,920.9,247.5,65.8,133.4,0.82
Banana,Fresh,31.1,65.7,231.5,30.6,13.9,5.6,7.1,0.114
Orange,Moderately Fresh,27.7,55.0,612.9,78.7,26.3,11.2,20.8,0.612
Apple,Moderately Fresh,17.3,69.6,371.3,51.3,26.5,9.2,18.4,0.629
Banana,Spoiled,28.9,78.0,1549.3,909.8,375.7,162.6,208.5,0.677
Banana,Fresh,12.5,89.2,146.0,20.6,6.5,1.7,4.2,0.024
Orange,Spoiled,27.5,79.9,1342.1,930.5,256.1,116.2,205.5,0.936
Banana,Moderately Fresh,18.6,67.8,475.3,57.3,42.9,7.5,35.8,0.462
Banana,Fresh,18.5,88.3,132.2,28.8,9.7,2.4,7.3,0.197
Banana,Moderately Fresh,16.9,72.8,515.6,68.9,45.3,9.0,37.3,0.529
Banana,Fresh,22.4,56.7,244.0,17.2,9.4,3.7,4.4,0.024
Orange,Spoiled,21.7,67.5,2214.8,737.8,280.7,103.3,269.6,0.723
Orange,Moderately Fresh,22.0,74.3,512.2,80.3,27.2,7.5,12.1,0.518
Orange,Spoiled,14.0,88.2,968.3,779.0,253.5,80.7,130.7,0.931
Orange,Fresh,27.1,89.4,304.7,29.2,12.4,5.0,3.5,0.005
Banana,Spoiled,17.4,61.3,1532.8,863.9,255.7,76.9,137.7,0.825
Orange,Fresh,26.2,85.0,227.7,24.0,8.9,3.8,3.7,0.019
Orange,Moderately Fresh,30.2,71.2,578.3,82.8,31.5,13.5,24.7,0.436
Banana,Fresh,31.6,50.4,237.3,32.5,15.2,3.7,7.6,0.096
Apple,Moderately Fresh,16.7,66.1,319.0,42.1,23.0,6.7,21.2,0.375
Apple,Spoiled,12.4,79.2,1284.1,700.3,167.3,67.1,182.6,0.71
Apple,Spoiled,20.1,77.7,1587.1,849.5,271.5,100.4,196.4,0.849
Banana,Fresh,17.0,78.2,149.9,18.2,8.5,2.0,4.9,0.078
Orange,Moderately Fresh,28.5,63.4,476.0,68.5,26.3,12.9,17.6,0.455
Apple,Moderately Fresh,14.1,57.8,364.9,48.2,16.6,8.3,22.1,0.472
Banana,Spoiled,23.3,61.9,1361.0,1271.3,290.8,66.4,256.4,0.684
Orange,Moderately Fresh,25.7,64.6,560.2,37.7,25.3,11.8,18.6,0.523
Orange,Spoiled,27.4,86.2,1618.0,787.2,267.2,61.8,215.2,0.836
Orange,Spoiled,26.8,50.9,1682.6,859.5,264.6,92.2,156.9,0.877
Apple,Moderately Fresh,21.1,68.4,385.4,79.6,21.8,13.1,26.9,0.335
Apple,Moderately Fresh,19.9,54.2,464.3,57.5,32.5,13.3,20.6,0.45
Banana,Spoiled,15.6,51.2,1080.0,692.3,210.9,90.2,191.9,0.897
Orange,Fresh,12.9,72.3,159.1,14.3,6.6,1.5,5.9,0.121
Orange,Spoiled,17.8,56.7,1339.9,862.7,260.8,91.1,169.2,0.731
Apple,Fresh,12.1,79.3,165.7,13.0,11.1,3.7,1.0,0.218
Orange,Spoiled,20.1,81.2,1483.5,1023.5,225.3,116.1,175.0,0.84
Orange,Fresh,18.9,80.6,153.5,14.8,13.5,2.9,7.3,0.185
Orange,Moderately Fresh,19.6,82.5,424.4,98.1,22.4,6.6,13.4,0.298
Orange,Spoiled,32.0,80.9,1507.5,1099.7,266.5,99.6,223.0,0.697
Banana,Fresh,31.7,78.6,229.1,24.8,7.0,1.7,5.2,0.154
Orange,Moderately Fresh,29.4,60.0,370.0,78.4,30.3,15.9,20.7,0.268
Apple,Moderately Fresh,23.1,53.8,426.9,76.1,20.9,6.1,18.3,0.458
Banana,Spoiled,22.1,53.2,1860.2,781.6,250.7,85.0,205.4,0.856
Orange,Spoiled,16.7,67.0,1507.7,975.9,200.3,67.3,144.3,0.973
Apple,Fresh,24.7,87.4,215.9,25.7,10.6,1.4,3.1,0.207
Banana,Moderately Fresh,16.0,75.1,514.3,59.4,31.5,9.7,30.6,0.628
Orange,Spoiled,28.2,89.8,2257.1,770.7,303.4,94.5,237.1,0.852
Apple,Moderately Fresh,17.1,62.7,506.7,78.9,17.8,10.5,20.5,0.413
Orange,Spoiled,31.1,81.5,1829.0,812.1,239.8,82.7,196.0,0.695
Banana,Moderately Fresh,12.2,79.8,381.1,77.7,33.7,11.2,32.8,0.5
Apple,Fresh,13.5,79.1,121.0,19.7,13.7,3.7,4.9,0.018
Orange,Spoiled,30.9,82.3,2078.6,1190.8,340.3,102.0,239.9,0.945
Apple,Fresh,14.0,81.0,146.3,12.8,9.0,2.2,5.4,0.037
Banana,Fresh,31.5,52.2,249.2,33.3,17.8,2.9,3.4,0.108
Banana,Moderately Fresh,15.0,70.2,402.6,60.5,21.7,12.7,33.9,0.593
Apple,Spoiled,20.1,71.8,1871.6,826.3,221.6,92.0,156.0,0.874
Apple,Fresh,16.4,87.2,153.1,16.2,8.7,2.6,5.9,0.092
Apple,Moderately Fresh,24.2,58.3,583.9,63.6,29.0,9.5,25.8,0.541
Orange,Fresh,16.9,86.5,166.8,18.9,10.6,2.8,4.6,0.07
Banana,Moderately Fresh,31.5,75.8,513.2,102.1,51.1,15.5,43.2,0.318
Banana,Fresh,21.2,64.2,182.6,17.5,12.8,0.6,4.6,0.137
Apple,Spoiled,26.5,73.5,1398.2,819.0,315.7,86.4,231.5,0.787
Banana,Spoiled,24.4,58.5,1317.8,982.9,261.7,85.9,148.5,0.8
Apple,Moderately Fresh,31.2,51.0,547.1,97.7,35.1,15.6,15.6,0.553
Orange,Fresh,19.2,88.7,208.8,16.6,11.5,3.5,6.1,0.165
Apple,Fresh,13.0,64.9,165.4,14.6,11.8,2.8,2.9,0.101
Banana,Fresh,22.2,68.0,182.9,24.7,14.2,1.4,3.0,0.155
Banana,Fresh,27.1,78.9,188.8,26.8,13.2,2.3,2.9,0.249
Apple,Moderately Fresh,23.2,57.1,606.3,67.9,34.1,8.0,22.2,0.519
Apple,Fresh,13.9,65.7,191.4,12.6,5.8,4.1,4.0,0.234
Orange,Moderately Fresh,27.6,60.5,572.4,70.4,31.5,10.7,26.3,0.517
Apple,Spoiled,12.4,76.7,1115.3,615.2,227.1,70.7,150.4,0.941
Banana,Spoiled,24.4,55.4,1378.0,831.5,244.2,103.1,182.9,0.738
Apple,Moderately Fresh,12.6,81.2,432.5,51.6,22.7,7.6,19.5,0.603
Orange,Fresh,19.7,87.9,192.2,20.9,10.1,3.8,2.8,0.096
Orange,Moderately Fresh,13.3,57.4,423.2,74.2,19.2,7.0,17.5,0.437
Apple,Fresh,29.2,68.4,202.7,34.2,10.2,4.2,6.5,0.118
Orange,Moderately Fresh,29.6,65.5,634.2,68.5,38.3,15.2,20.0,0.271
Banana,Fresh,29.3,55.0,182.5,33.0,10.4,5.3,6.9,0.046
Banana,Spoiled,18.2,85.3,1545.3,798.7,243.7,93.9,178.1,0.872
Banana,Spoiled,13.9,88.4,1320.8,767.1,249.4,85.5,144.7,0.991
Banana,Moderately Fresh,30.1,89.8,553.9,48.1,56.3,11.6,48.3,0.584
Orange,Spoiled,20.3,53.4,1345.9,790.9,276.2,77.4,160.5,0.825
Orange,Fresh,14.3,74.8,178.1,16.3,12.4,2.5,3.8,0.105
Banana,Spoiled,29.1,81.4,1747.3,1019.7,292.1,98.2,227.9,0.965
Orange,Spoiled,21.9,76.6,1228.9,797.0,290.0,81.6,163.3,0.985
Orange,Moderately Fresh,18.5,89.5,524.2,36.4,23.0,8.7,15.8,0.414
Apple,Moderately Fresh,16.5,83.2,446.9,80.7,25.2,8.2,10.4,0.634
Banana,Spoiled,25.5,50.7,1573.8,774.1,266.3,102.6,182.2,0.904
Orange,Moderately Fresh,22.4,63.8,457.4,85.1,24.4,12.5,14.3,0.539
Orange,Spoiled,19.9,88.3,1466.7,875.5,222.8,86.6,135.5,0.815
Apple,Fresh,24.6,55.6,215.2,25.6,11.7,4.3,3.9,0.067
Apple,Moderately Fresh,18.2,82.1,310.7,71.5,20.1,10.2,25.5,0.353
Banana,Spoiled,20.9,76.6,1361.4,938.8,227.6,79.1,199.2,0.688
Banana,Fresh,27.8,67.6,200.6,24.1,13.4,4.0,5.3,0.25
Orange,Spoiled,29.7,85.9,1583.4,953.8,314.3,127.0,162.5,0.954
Apple,Spoiled,18.8,83.4,1410.8,870.4,298.1,79.1,195.3,0.917
Apple,Moderately Fresh,18.5,74.3,350.8,54.8,29.2,11.6,8.4,0.514
Apple,Moderately Fresh,31.4,57.3,562.0,115.9,32.8,11.9,22.7,0.348
Apple,Fresh,21.8,51.6,162.9,21.6,15.3,3.4,6.0,0.1
Banana,Moderately Fresh,23.2,83.4,476.0,106.2,48.4,8.1,39.9,0.637
Orange,Moderately Fresh,19.7,80.8,487.8,96.0,21.9,9.7,11.6,0.395
Orange,Fresh,29.7,53.6,225.3,17.8,8.0,4.1,7.5,0.045
Orange,Moderately Fresh,20.2,59.9,460.9,67.7,18.1,10.8,26.2,0.642
Banana,Moderately Fresh,14.8,86.5,321.6,52.4,33.0,8.3,29.6,0.586
Orange,Spoiled,26.9,72.4,1769.2,1224.1,215.5,62.2,241.4,0.696
Banana,Spoiled,26.5,56.6,1756.9,818.0,294.1,114.7,211.5,0.761
Orange,Moderately Fresh,31.0,52.2,705.1,69.5,33.9,9.8,30.2,0.585
Banana,Spoiled,21.0,75.1,1785.9,950.9,200.5,73.7,110.2,0.889
Apple,Moderately Fresh,31.3,66.0,622.7,58.1,35.0,12.8,20.9,0.397
Banana,Fresh,31.6,66.0,182.3,27.3,10.0,5.8,6.8,0.112
Banana,Fresh,24.4,78.8,262.2,26.3,9.3,3.4,4.5,0.154
Orange,Spoiled,21.1,62.7,1821.2,927.2,264.8,102.8,157.9,0.941
Banana,Moderately Fresh,23.5,76.0,445.0,81.9,50.1,12.9,43.8,0.607
Orange,Moderately Fresh,29.6,54.8,647.2,61.4,14.0,15.4,20.8,0.342
Orange,Spoiled,23.1,52.9,1355.3,1003.1,272.5,115.8,171.3,0.829
Orange,Moderately Fresh,14.1,81.2,393.2,37.9,15.5,8.2,24.1,0.513
Apple,Moderately Fresh,13.9,81.3,444.7,80.0,10.0,11.1,17.4,0.274
Orange,Spoiled,13.8,82.9,794.9,891.2,277.3,73.0,200.3,0.987
Banana,Spoiled,12.3,77.2,1258.8,774.6,213.0,66.0,137.7,0.735
Apple,Spoiled,26.9,70.1,2079.4,937.7,292.3,75.7,193.1,0.939
Orange,Fresh,18.8,69.3,129.7,13.6,9.1,2.1,4.1,0.155
Banana,Spoiled,24.8,75.9,2361.6,1018.4,275.0,72.4,252.3,0.778
Banana,Moderately Fresh,18.3,77.2,422.7,57.6,35.6,7.5,27.8,0.615
Orange,Moderately Fresh,27.7,52.9,537.2,64.3,22.7,11.4,21.8,0.532
Orange,Moderately Fresh,31.7,88.8,624.4,99.6,23.6,11.8,25.9,0.542
Orange,Spoiled,26.2,65.4,2031.0,729.9,381.5,124.7,200.4,0.911
Banana,Spoiled,26.1,61.1,1501.0,869.4,223.7,71.0,204.0,0.702
Orange,Fresh,13.8,79.8,175.5,21.8,8.8,3.4,3.4,0.238
Banana,Fresh,18.6,55.5,141.5,17.6,11.4,2.1,6.9,0.075
Banana,Fresh,18.7,53.4,127.0,26.5,6.2,3.9,2.9,0.221
Banana,Moderately Fresh,23.4,63.4,519.6,56.2,53.2,12.2,38.3,0.409
Orange,Moderately Fresh,24.4,89.4,456.5,62.8,23.1,7.6,9.6,0.376
Orange,Fresh,22.5,54.7,221.3,11.1,8.9,2.9,4.6,0.052
Apple,Fresh,22.9,65.6,190.8,17.8,12.9,2.3,2.8,0.136
Apple,Moderately Fresh,21.5,66.3,309.3,55.5,24.1,10.1,13.7,0.313
Banana,Spoiled,26.1,89.2,1669.8,832.4,234.8,71.5,207.2,0.686
Orange,Spoiled,19.7,78.9,1806.4,1055.4,249.5,72.1,170.4,0.981
Orange,Spoiled,24.5,82.2,1728.7,803.8,280.6,88.4,177.4,0.884
Orange,Moderately Fresh,27.2,75.1,475.2,60.9,35.5,6.0,31.0,0.6
Banana,Fresh,31.5,72.8,288.4,19.0,9.9,3.5,8.9,0.079
Orange,Spoiled,24.9,72.7,1669.8,603.2,287.4,112.5,160.3,0.707
Apple,Fresh,22.3,74.2,182.7,25.5,10.9,3.9,4.1,0.17
Apple,Fresh,17.5,60.0,155.2,19.6,6.3,3.4,5.8,0.102
Banana,Spoiled,27.4,63.3,1306.6,865.7,276.0,110.2,204.4,0.948
Apple,Fresh,17.0,73.7,140.5,16.7,13.3,4.2,4.6,0.206
Banana,Moderately Fresh,22.7,80.2,415.2,74.0,43.2,12.6,34.3,0.402
Orange,Fresh,15.9,59.7,179.8,22.1,9.5,4.0,6.0,0.097
Orange,Moderately Fresh,22.8,70.6,535.7,86.3,29.3,8.4,21.7,0.299
Orange,Fresh,15.8,89.0,168.5,20.9,11.2,5.2,2.7,0.105
Banana,Moderately Fresh,25.1,70.4,485.8,73.2,45.0,15.5,37.7,0.393
Orange,Fresh,31.8,55.1,208.9,19.3,11.0,3.8,3.2,0.064
Apple,Fresh,21.9,54.2,179.2,36.6,12.8,3.7,5.8,0.241
Apple,Fresh,25.8,64.0,245.9,15.4,9.8,2.3,7.8,0.056
Orange,Moderately Fresh,17.6,78.6,506.3,71.0,20.6,9.2,19.9,0.484
Banana,Fresh,16.2,61.9,157.3,13.6,9.7,2.2,6.2,0.152
Apple,Fresh,17.9,54.4,142.0,13.3,4.1,2.7,5.0,0.081
Banana,Fresh,26.5,56.7,176.6,24.8,16.3,4.1,6.1,0.094
Banana,Spoiled,13.2,64.8,790.4,713.9,230.5,96.9,153.7,0.968
Banana,Fresh,15.3,68.9,141.4,14.8,10.2,1.4,8.4,0.13
Banana,Fresh,14.2,68.0,111.7,16.4,9.8,0.8,4.0,0.014
Orange,Fresh,23.0,64.8,188.6,24.7,8.6,4.1,2.8,0.186
Orange,Spoiled,18.5,87.0,1129.3,971.0,213.9,72.9,196.4,0.948
Apple,Fresh,17.8,69.4,197.9,15.0,11.4,1.7,7.8,0.181
Orange,Spoiled,15.5,83.2,1481.9,699.7,231.2,89.5,194.4,0.765
Banana,Spoiled,29.9,61.1,2121.7,996.9,278.6,107.0,206.0,0.882
Apple,Fresh,29.3,81.0,224.6,16.9,17.2,3.7,6.9,0.025
Banana,Fresh,21.0,64.2,173.1,23.4,12.0,1.0,5.5,0.005
Apple,Spoiled,27.7,75.2,1886.8,1061.5,233.2,120.2,261.7,0.843
Orange,Moderately Fresh,29.1,88.0,355.0,61.9,37.7,10.8,33.4,0.373
Orange,Moderately Fresh,31.5,58.6,437.8,52.1,35.8,12.9,31.3,0.484
Banana,Spoiled,29.8,75.1,2027.0,773.3,323.3,100.1,162.5,0.841
Apple,Moderately Fresh,17.9,73.7,373.9,67.9,23.8,8.8,28.9,0.521
Orange,Fresh,19.6,69.4,187.7,17.5,8.8,2.4,4.8,0.21
Apple,Spoiled,23.3,55.8,1476.9,741.7,299.8,96.4,172.4,0.884
Banana,Fresh,23.6,70.8,170.2,20.3,6.6,3.1,1.2,0.072
Banana,Moderately Fresh,26.2,78.6,463.6,62.4,55.9,9.9,35.1,0.282
Banana,Fresh,25.0,54.3,176.2,31.8,8.4,3.0,7.9,0.238
Apple,Spoiled,14.3,75.5,1846.9,807.5,211.7,73.1,109.1,0.952
Apple,Moderately Fresh,19.7,58.5,428.3,84.3,25.2,9.1,23.6,0.313
Banana,Spoiled,19.2,67.4,797.0,856.8,211.8,80.3,158.4,0.971
Orange,Spoiled,31.3,50.2,2177.5,1178.3,374.9,70.5,242.0,0.721
Orange,Moderately Fresh,14.1,73.4,301.2,56.6,14.7,9.0,20.5,0.267
Orange,Fresh,22.7,63.9,197.6,27.2,6.0,0.9,5.7,0.166
Orange,Fresh,17.6,53.2,151.9,14.9,9.5,3.1,1.8,0.089
Banana,Moderately Fresh,26.6,81.0,494.2,58.6,63.8,14.1,39.8,0.472
Orange,Fresh,18.9,87.6,217.9,16.6,10.9,4.7,2.6,0.132
Banana,Moderately Fresh,14.2,54.6,512.9,61.8,45.9,9.2,38.0,0.611
Banana,Fresh,24.0,66.4,128.5,20.4,9.6,2.7,4.7,0.223
Orange,Moderately Fresh,18.7,70.8,480.0,96.4,21.8,12.2,20.9,0.568
Banana,Moderately Fresh,17.0,53.7,472.9,47.5,49.7,11.9,29.2,0.646
Banana,Moderately Fresh,18.3,71.3,436.1,32.8,45.1,9.1,31.5,0.385
Apple,Fresh,17.7,77.6,127.9,20.1,5.7,4.1,3.7,0.021
Orange,Moderately Fresh,26.6,88.3,486.6,84.6,30.1,7.6,20.5,0.519
Orange,Moderately Fresh,20.6,63.7,413.2,47.0,14.8,9.7,22.9,0.609
Apple,Spoiled,20.7,77.9,1490.0,836.5,205.6,73.7,167.4,0.701
Banana,Moderately Fresh,24.5,84.8,478.8,72.6,46.9,10.2,40.9,0.612
Apple,Moderately Fresh,19.8,79.4,436.8,81.5,26.6,7.0,17.4,0.264
Apple,Spoiled,29.0,74.9,2169.9,788.5,323.1,106.6,242.6,0.876
Banana,Fresh,20.0,77.2,226.5,16.3,11.2,1.6,4.1,0.098
Orange,Fresh,19.4,52.6,200.2,12.9,9.1,1.3,5.7,0.101
Apple,Moderately Fresh,27.7,83.6,462.9,58.3,33.5,12.7,20.7,0.294
Orange,Fresh,12.5,88.5,142.3,24.9,3.5,2.9,5.8,0.03
Orange,Fresh,24.4,64.8,230.8,17.5,11.1,2.6,4.9,0.133
Orange,Moderately Fresh,25.2,78.7,447.6,71.8,26.5,8.8,13.6,0.359
Orange,Fresh,15.1,68.7,175.2,16.6,15.3,3.5,2.8,0.106
Orange,Moderately Fresh,27.1,75.4,454.7,69.1,35.0,12.9,23.9,0.509
Banana,Fresh,15.1,76.5,162.5,13.0,11.4,1.5,3.7,0.172
Banana,Moderately Fresh,22.0,76.3,533.3,81.7,43.4,7.0,35.0,0.587
Apple,Moderately Fresh,27.5,80.1,509.1,99.0,31.8,14.2,19.7,0.508
Banana,Moderately Fresh,17.7,83.0,418.7,67.7,48.4,7.3,32.6,0.535
Orange,Moderately Fresh,16.0,83.1,410.7,61.7,18.3,8.9,15.5,0.62
Banana,Spoiled,31.4,56.3,1561.2,1483.9,254.3,116.6,186.3,0.718
Banana,Moderately Fresh,31.9,69.2,608.4,63.1,62.5,14.7,49.3,0.303
Orange,Fresh,17.9,76.1,193.0,25.5,7.8,3.1,3.7,0.227
Apple,Fresh,12.1,57.2,120.0,18.0,9.1,1.1,1.2,0.135
Apple,Fresh,27.5,75.7,177.2,25.8,12.6,5.5,3.4,0.017
Orange,Spoiled,30.0,77.5,1093.0,1213.8,300.0,129.1,216.6,0.912
Banana,Fresh,18.6,56.8,150.6,20.1,13.2,2.3,5.7,0.122
Banana,Spoiled,30.8,65.6,1385.8,1139.7,295.5,136.4,240.0,0.942
Banana,Fresh,21.3,73.0,178.2,22.3,9.6,1.5,1.5,0.12
Banana,Spoiled,16.3,53.6,1690.3,722.8,222.2,89.3,159.2,0.967
Apple,Moderately Fresh,23.8,68.8,507.6,62.4,24.3,10.7,26.5,0.641
Banana,Spoiled,16.5,58.2,1831.6,825.8,258.9,76.0,194.2,0.947
Apple,Fresh,30.8,72.7,260.1,11.5,12.9,2.9,6.8,0.14
Apple,Moderately Fresh,21.6,71.6,375.1,74.8,26.3,11.0,22.1,0.552
Orange,Moderately Fresh,15.8,78.5,385.5,89.8,32.3,8.4,24.0,0.612
Banana,Fresh,12.4,61.5,145.8,18.1,9.3,2.6,3.6,0.17
Apple,Moderately Fresh,16.9,89.4,382.2,50.7,23.2,9.7,20.5,0.578
Banana,Moderately Fresh,22.9,62.9,464.3,98.6,52.0,12.5,25.2,0.363
Apple,Moderately Fresh,23.6,59.4,394.6,95.4,18.9,10.8,17.0,0.403
